CASEID,hunt_fish,scientists,education,ideology,urbanrural
206488,0,70,7,5,rural
206495,,,6,7,
206501,0,70,3,,city
206518,0,85,3,6,suburb
206525,0,100,6,4,small town
206532,,70,2,3,suburb
206549,0,95,3,4,city
206563,,,2,,
206587,0,100,6,1,suburb
206594,0,70,7,2,city
206600,0,30,4,7,small town
206617,1,85,2,4,city
206624,0,100,,4,rural
206631,0,95,8,3,small town
206648,1,100,6,3,small town
206655,0,100,2,3,city
206662,0,100,3,5,suburb
206679,0,95,7,2,suburb
206686,0,100,6,6,suburb
206709,0,70,1,,city
206716,0,70,2,3,city
206723,0,60,7,7,suburb
206730,1,75,8,4,suburb
206747,1,,6,5,small town
206754,0,70,8,3,suburb
206778,0,85,2,,rural
206792,0,100,5,6,small town
206815,1,70,3,5,suburb
206822,0,50,6,6,city
206839,0,50,2,4,small town
206853,0,100,2,3,suburb
206860,0,100,3,3,rural
206877,1,60,3,5,suburb
206884,0,85,3,3,small town
206891,0,50,7,4,city
206907,0,80,3,6,suburb
206914,1,15,6,6,small town
206921,0,85,6,5,rural
206938,0,85,2,6,suburb
206945,0,50,4,2,suburb
206983,0,,7,2,suburb
206990,0,70,6,6,city
207016,0,70,1,6,suburb
207023,0,85,3,,rural
207030,1,50,6,6,rural
207047,1,90,6,5,rural
207054,0,85,7,5,suburb
207061,0,85,3,5,rural
207078,1,90,2,4,small town
207092,1,50,2,7,small town
207108,0,100,6,4,small town
207115,0,100,5,,city
207122,1,100,6,1,city
207139,0,85,7,2,suburb
207153,1,85,7,6,rural
207160,0,60,3,7,small town
207177,0,85,7,5,suburb
207184,0,60,7,5,small town
207191,1,50,3,5,rural
207207,0,50,2,4,city
207214,0,98,7,1,small town
207221,1,100,2,,city
207238,0,85,7,5,small town
207245,0,90,8,3,city
207252,1,60,2,4,small town
207276,0,70,3,6,suburb
207290,0,70,7,7,suburb
207306,0,60,1,3,city
207313,0,85,7,4,city
207320,0,100,3,1,city
207337,1,85,2,6,rural
207344,0,85,6,2,small town
207351,0,80,3,5,suburb
207368,0,60,2,4,small town
207375,1,100,7,1,rural
207382,0,20,6,4,suburb
207399,0,85,7,3,small town
207405,1,50,1,,city
207412,1,60,8,5,rural
207436,0,85,8,2,city
207443,1,100,7,4,suburb
207450,0,85,3,,small town
207467,0,50,3,,rural
207474,1,85,3,,small town
207481,0,100,5,2,small town
207511,0,70,6,4,suburb
207528,0,0,6,6,city
207542,1,85,3,3,small town
207559,0,85,7,3,small town
207566,0,100,7,1,small town
207573,0,50,1,6,small town
207597,1,70,3,4,suburb
207603,0,40,3,6,suburb
207610,0,75,6,4,suburb
207627,0,85,,3,suburb
207634,0,100,5,5,suburb
207641,0,100,7,2,small town
207658,1,85,5,4,suburb
207665,0,100,6,7,suburb
207672,0,50,2,,city
207689,1,80,3,4,small town
207696,0,85,3,,suburb
207702,0,50,5,4,suburb
207719,0,85,2,,city
207726,1,70,5,1,small town
207733,1,70,2,,small town
207740,0,85,6,3,small town
207757,0,100,2,,suburb
207764,1,75,3,4,city
207771,1,85,5,2,rural
207788,1,50,3,6,small town
207795,0,100,7,2,city
207818,0,85,2,,city
207825,0,85,6,5,suburb
207832,0,40,3,6,small town
207849,0,100,4,6,small town
207856,0,50,3,2,small town
207863,1,50,7,5,city
207870,1,100,7,4,city
